Name,County,Sites,FullstreetAddress,House district,Senate district
Raymond's Landing, Branch ,70,"259 Earl Helen Dr, Coldwater, MI, 49036",35,17
Somerset Mobile Home Park, Branch ,56,"117 Burch Road, Coldwater, MI, 49036",35,17
Trail Tree Village, Branch ,143,"175 North Michigan Avenue, Coldwater, MI, 49036",35,17
Lakecrest Mobile Court, Branch ,23,"645 Lakecrest Drive, Coldwater, MI, 49036",35,17
Turtle Lake, Branch ,,"2101 9 Mile Road, Union City, MI, 49094",45,18
Avra Estates II, Branch ,30,"27 West Garfield Avenue, Coldwater, MI, 49036",35,17
Mobile Manor Park, Branch ,29,"104 First Street, Bronson, MI, 49028",35,17
Apollo XI Mobile Home Park, Branch ,72,"550 East Chicago Street, Coldwater, MI, 49036",35,17
Cambridge Village, Branch ,32,"748 Lott Road, Coldwater, MI, 49036",35,17
Countryside Mobile Court, Branch ,24,"191 North Fillmore Court, Coldwater, MI, 49036",35,17
Avra Estates, Branch ,143,"11 West Garfield Avenue, Coldwater, MI, 49036",35,17
Kinsley Mobile Home Park, Branch ,20,"587 Marshall Road, Coldwater, MI, 49036",35,17
Cole's Chippewa Circle Mobile Home Park, Branch ,,"356 Chippewa Drive, Sherwood, MI, 49089",35,17
Green Acres Mobile Home Park, Branch ,,"151 Wheatfield Drive, Sherwood, MI, 49089",35,17
Indian Cove Mobile Home Park, Branch ,,"2928 Matteson Lake, Bronson, MI, 49028",35,17
Northmoor Estates, Branch ,,"228 North Moor Drive, Coldwater, MI, 49036",35,17
Thunderbird Village, Calhoun ,8,"1145 Harmonia, Springfield, MI, 49015",44,18
Hickory Hills Village, Calhoun ,283,"10450 Six Mile Road, Battle Creek, MI, 49014",45,18
Bedford Hills, Calhoun ,339,"110 Bejac Circle Drive, Battle Creek, MI, 49017",44,18
Avenue A Mobile Home Park, Calhoun ,145,"1267 Avenue A, Springfield, MI, 49015",44,18
Creek Valley Mobile Home Park, Calhoun ,166,"79 Creek Valley Circle, Battle Creek, MI, 49017",44,18
Glenmoor Village, Calhoun ,139,"3971 Capital Avenue SW #1, Battle Creek, MI, 49015",45,18
Wildflower Crossing, Calhoun ,344,"1642 Alyssum Court, Albion, MI, 49224",44,17
New Village Estates, Calhoun ,130,"430 South Byron, Homer, MI, 49245",45,17
Avonwood Mobile Home Park, Calhoun ,55,"953 East Michigan Avenue, Battle Creek, MI, 49017",45,18
Birchwood Place Mobile Home Park, Calhoun ,70,"3500 Q Drive South, Athens, MI, 49011",45,18
Lighthouse On The Lake, Calhoun ,788,"1001 24 Mile Road, Homer, MI, 49245",45,17
