DBA,Owner / Community_Name,Location_Address,County,Total_#_Sites,House district,Senate district
,ORCHARD GROVE HOLDINGS LLC,"2835 SOUTH WAGNER #200, ANN ARBOR, MI 48103",WASHTENAW,290,33,14
,SYLVAN VALLEY ESTATES INC,"46537 ECORSE, BELLEVILLE, MI 48111",WAYNE,37,31,4
SANDY PINES TRAILER PARK,BRIAN R MASTAW,"95 W. 15 MILE RD., LOT #23, SAULT STE. MARIE, MI 49783",CHIPPEWA,14,107,37
,"BIRCHCREST ESTATES MHC, LLC","2330 E. MAIN ST., NILES, MI 49120",BERRIEN,110,37,17
SUN CAMELOT VILLA,SUN CAMELOT VILLA LLC,"17111 HALL ROAD, MACOMB, MI 48044",MACOMB,712,60,11
,"NORTH SHORE MHC, LLC","17990 NORTH SHORE ROAD, FERRYSBURG, MI 49409",OTTAWA,96,88,31
KENSINGTON PLACE,KENSINGTON PARK LTD,"60501 GRAND RIVER AVENUE, NEW HUDSON, MI 48165",OAKLAND,488,49,23
LAKEVIEW MOBILE HOME PARK,JMC COMMUNITIES INC,"5767 MAIN STREET, LEXINGTON, MI 48450",SANILAC,38,98,25
,LARRYS TRAILER COURT,"10692 N BLACK RIVER RD., CHEBOYGAN, MI 49721",CHEBOYGAN,8,106,37
,GRANITE ROBBINWOOD VILLA LLC,"7550 BEECH DALY, TAYLOR, MI 48180",WAYNE,114,29,1
,TAG A LONG LLC,"6609 S. RIVER RD., MARINE CITY, MI 48039",ST CLAIR,38,63,25
,COUNTRY MANOR,"5649 S. VERNON RD., DURAND, MI 48429",SHIAWASSEE,44,71,28
SYCAMORE VILLAGE,SYCAMORE VILLAGE MOBILE HOME PARK LLC,"900 W COLUMBIA ST, MASON, MI 48854",INGHAM,449,73,21
,"STODDARD MOBILE COURT & SALES, INC","16940 SOUTH OAKLEY ROAD, CHESANING, MI 48616",SAGINAW,125,71,34
,WEBBERVILLA LLC,"400 WEST GRAND RIVER AVENUE, WEBBERVILLE, MI 48892",INGHAM,174,73,22
GRIEVES TRAILER PARK,MKG PRPERTIES LLC,"178 WASHINGTON STREET, SARANAC, MI 48881",IONIA,4,78,18
,SUN HAWAIIAN HOLLY LLC A MICHIGAN LLC,"4041 GRANGE HALL ROAD, HOLLY, MI 48442",OAKLAND,192,72,22
WHITE PINES MOBILE HOME PARK,JOEL E REINOEHL,"29530 M-152, DOWAGIAC, MI 49047",CASS,36,37,17
,CREEKSIDE MEADOWS OF ST JOHNS MHC LLC,"2265 WEST PARKS ROAD - LOT 1, ST. JOHNS, MI 48879",CLINTON,216,75,28
,LONG LAKE MOBILE HOME PARK LLC,"2701 WEST LONG LAKE ROAD, ORLEANS, MI 48865",IONIA,27,91,33
,LAKESHORE ESTATES,"8924 WEST LONG LAKE ROAD, ALPENA, MI 49707",ALPENA,58,106,36
LAKEVIEW MOBILE HOME PARK,SUN LAKEVIEW LLC,"9910 GERALDINE STREET, YPSILANTI, MI 48197",WASHTENAW,392,32,15
,AVRA ESTATES,"415 WEST CHICAGO ROAD, COLDWATER, MI 49036",BRANCH,62,35,17
SEAWAY TRAILER COURT,"SEAWAY TRAILERS, LLC","9708 NORTH RIVER ROAD, ALGONAC, MI 48001",ST CLAIR,12,63,12
FOUR KORNERS MOBILE HOME PARK,JAMES B ERICKSON,"100 TAYLOR ROAD, GWINN, MI 49841",MARQUETTE,14,109,38
DUNLOPS ORCHARD PARK,PHYLLIS E ROGERS,"12703 WEST PINE LAKE ROAD, PLAINWELL, MI 49080",BARRY,22,43,18
,"ALPINE MOBILE VILLAGE, INC","4840 ALPINE AVENUE NW, COMSTOCK PA 49321",KENT,118,90,30
,BIRCHGROVE MOBILE HOME COMMUNITY,"500 PIONEER ROAD, MARQUETTE, MI 49855",MARQUETTE,77,109,38
COUNTRY VILLAGE MOBILE HOME ESTATES,HELMUT K UNGER,"7781 WEST GRAND RIVER, GRAND LEDGE, MI 48837",CLINTON,75,77,28
COUNTRY VILLAGE ESTATES,COUNTRYSIDE VILLAGE GROUP LTD,"2701 I-75 BUSINESS LOOP, WEST BRANCH MI 48661",OGEMAW,53,99,36
COLONIAL MANOR MANUFACTURED HOME COMMUNITY,"COLONIAL MANOR ASSOCIATES, LLC","5500 WEST K L AVENUE, KALAMAZOO, MI 49009",KALAMAZOO,193,40,19
,COACHMANS COVE LIMITED PARTNERSHIP,"6600 PORTAGE LAKE ROAD, MUNITH, MI 49259",JACKSON,250,48,14
,CLIMAX MOBILE HOME PARK INC,"14253 EAST ON AVENUE, CLIMAX, MI 49034",KALAMAZOO,75,45,18
,HILLCREST ACRES ASSOCIATES LLC,"3205 DOUGLAS AVE, KALAMAZOO MI 49007",KALAMAZOO,150,41,19
,HILLANLAKE VILLAGE MOBILE HOME PARK,"3998 SUNSET DRIVE, BROOKLYN, MI 49230",JACKSON,149,47,14
,"SPRING VALLEY ESTATES, INC","121 SPLIT RAIL TRAIL, HANOVER, MI 49241",JACKSON,94,45,14
GLENVIEW MOBILE HOME PARK,DANIEL FRAZER,"4090 JACKSON RD, SARANAC, MI 48881",IONIA,13,78,18
DORSEY'S ON GLEN LAKE,NAAD PROPERTIES LLC,"8648 S. DORSEY PARK RD., EMPIRE, MI 49630",LEELANAU,31,103,37
COLONIAL ACRES MANUFACTURED HOME COMMUNITY,COLONIAL ACRES ASSOCIATES LLC,"5374 DEADWOOD DR, KALAMAZOO MI 49002",KALAMAZOO,612,41,19
,GRAND OAKS VILLAGE LLC,"817 NORTH CLINTON, GRAND LEDGE, MI 48837",EATON,168,77,21
GLENN WOOD MOBILE VILLAGE,GLENN WOOD MOBILE ASSOCIATES,"2526 MORRISSEY, WARREN, MI 48090",MACOMB,147,14,3
,"HIGHLAND HILLS, INC","398 SECOND ST, ST. IGNACE, MI 49781",MACKINAC,35,107,37
MOBILEHOME BEACH,MILO ALLETT,"92441 LAKE SHORE DR, LAWTON, MI 49065",VAN BUREN,29,39,20
LAWRENCE MOBILE HOME PARK,"MAPLE HILL MOBILE HOME PARK, LLC","175 CORWIN, LAWRENCE, MI 49064",VAN BUREN,60,39,20
KLINES RESORT & MOBILE HOME PARK,"KLINES RESORT, LTD","22460 KLINES RESORT RD R#2, THREE RIVERS MI 49093",ST JOSEPH,159,36,17
,HICKORY LANE MOBILE HOME PARK LLC,"14809 W-M60, THREE RIVERS MI 49093",ST JOSEPH,32,36,17
COLONIAL ESTATES MANUFACTURED HOME COMMUNITY,CELINE DEVELOPMENTS LLC,"501 N US WAY 131 #9, WHITE PIGEON MI 49099",ST JOSEPH,112,36,17
,COLONIAL ACRES MOBILE HOME PARK & SALES,"24995 US 12 EAST, EDWARDSBURG, MI 49112",CASS,106,36,17
,WHISPERING PINES TRAILER PARK,"240 S MT TOM RD, MIO MI 48647",OSCODA,9,105,36
,BARRYS RESORT INC,"2875 SOUTH CHARLTON PARK ROAD, HASTINGS, MI 49058",BARRY,50,78,18
,HALF MOON LAKE RESORT,"2832  STAINES RD. S.E., STANTON, MI 48888",MONTCALM,6,91,33
,LESLIES MOBILE HOME VILLAGE,"25214 GRATIOT, ROSEVILLE, MI 48066",MACOMB,166,12,11
LAKEVIEW MOBILE HOME ESTATES,DANIEL R OCONNOR,"R#2 INDIAN LAKE, EAU CLAIRE, MI 49111",CASS,18,37,17
,TIMBERLINE ESTATES MOBILE HOME PARK,"2315 EAST RIVER ROAD, TWIN LAKE, MI 49457",MUSKEGON,302,87,32
"OAKS MOBILE HOME PARK, THE",OAKTRAIL ASSOCIATES,"3240 GETTY STREET, MUSKEGON, MI 49444",MUSKEGON,172,20,32
APPLE CARR VILLAGE,APPLE CARR VILLAGE MOBILE HOME PARK LLC,"516 COURTLAND, MUSKEGON, MI 49442",MUSKEGON,716,89,32
WESTPHALIA TRAILER COURT,PATRICIA HENGESBACH,"13606 JASON RD., WESTPHALIA MI 48894",CLINTON,8,77,28
WILLOW GREEN MOBILE HOME COMMUNITY,"LAWSON VILLAGE, LLC","2033 N OUTER DR, MONROE MI 48161",MONROE,586,30,16
MEADOWBROOK ESTATES MANUFACTURED HOME COMMUNITY,"SUN POOL 3, LLC","1250 STRANDWYCK, MONROE, MI 48161",MONROE,455,30,16
,INVERNESS COMMUNITY LLC,"6230 LEWIS, TEMPERENCE MI 48182",MONROE,518,30,16
ALLENDALE MEADOWS,SUN SECURED FINANCING LLC,"11400 BOYNE BLVD., ALLENDALE, MI 49401",OTTAWA,352,89,30
,HOLIDAY HAVEN TRAILER PARK ASSOCIATION,"2250 OTTAWA BEACH ROAD, HOLLAND, MI 49424",OTTAWA,45,86,31
MAPLE VIEW,MAPLE PARKS LLC,"1984 92ND AVENUE, ZEELAND, MI 49464",OTTAWA,93,85,31
MICHIANA MOBILE HOME PARK,NOTTAWA ESTATES LLC,"135 SOUTH NOTTAWA, NOTTAWA, MI 49075",ST JOSEPH,40,36,17
,"PINE ISLAND LAKE RECREATION PARK, INC","3768 PINE ISLAND DR., LOT 9, HOLTON, MI 49425",MUSKEGON,30,102,32
WHISPERING PINES ESTATES,WALTER SCHEWE,"R#4 PHOENIX ROAD, SOUTH HAVEN, MI 49090",VAN BUREN,50,38,20
LEXINGTON NORTH SHORES,VILLAGE OF LEXINGTON,"5203 MAIN STREET, LEXINGTON, MI 48450",SANILAC,232,98,25
,NORTHLAND ACRES MHC,"13323 NORTHLAND DRIVE, CEDAR SPRINGS, MI 49319",KENT,71,91,33
,LA-E-MA LAND MOBILE HOME PARK INC,"7825 CANNONSBURG ROAD, ROCKFORD, MI 49341",KENT,29,90,33
,RUSH LAKE MOBILE HOME PARK & CAMP LLC,"48401 RUSH LAKE RD LOT 1, HARTFORD, MI 49057",VAN BUREN,20,39,20
WEST POINT HILLS,CREEKSIDE WEST POINT HILLS LLC,"24878 25TH STREET, MATTAWAN, MI 49071",VAN BUREN,377,39,19
WINDMILL PARK,THEROUX DEVELOPMENT COMPANY,"1433 EIFERT ROAD, HOLT, MI 48842",INGHAM,484,74,21
VALLEY SPRINGS MOBILE HOME PARK,VALLEY SPRINGS MOBILE HOME PARK LLC,"4723 NORTH HARTEL ROAD, POTTERVILLE, MI 48876",EATON,81,76,21
FLAT ROCK VILLAGE,"TRI-PARK HOLDINGS, LLC","11150 TELEGRAPH ROAD, CARLETON, MI 48117",MONROE,332,29,32
,MICHAEL R ANDREE,"7725 SUMMERFIELD RD, LAMBERTVILLE MI 48144",MONROE,28,30,16
FAIRVIEW ESTATES,"DAGENAIS REAL ESTATE, INC","1401 NORTH 23RD STREET, ESCANABA, MI 49829",DELTA,154,108,38
,RIVERVIEW HOLDINGS LLC,"3460 47TH ST APT 12, HAMILTON MI 49419",ALLEGAN,50,43,20
MARLIN VILLAGE MOBILE HOME PARK,NILES MOBILE HOME PARK INC,"2995 DETROIT RD, NILES MI 49120",CASS,38,37,17
,"ARLINGTON ESTATES, LLC","3785 EVANSTON AVE, MUSKEGON MI 49442",MUSKEGON,660,87,32
B-24 MOBILE HOME PARK,"VSC PROPERTY MANAGEMENT, LLC","4785 MUNGER RD, YPSILANTI, MI 48197",WASHTENAW,20,32,15
RUDGATE MANOR MOBILE HOME PARK,RUDGATE VILLAGE COMPANY LTD,"5150 RUDGATE BLVD, STERLING HEIGHTS, MI 48078",MACOMB,931,57,9
PRESIDENTIAL ESTATES,SUN SECURED FINANCING LLC,"5075 PRESIDENTIAL LANE, HUDSONVILLE, MI 49426",OTTAWA,364,85,31
,MEMORY LANES MOBILE HOME PARK LLC,",",ST JOSEPH,227,,
EMERALD ESTATES,COLORED STONES PROPERTIES LLC,"236 JONES ST, GRANT, MI 49327",NEWAYGO,31,101,33
,"ROB-ANN MOBILE HOME COURT, LLC","1215 LOCUST STREET, FREMONT, MI 49412",NEWAYGO,84,101,33
MEADOWVIEW VILLAGE MOBILE HOME PARK,AN-WIL INC,"1307 LOCUST STREET, FREMONT, MI 49412",NEWAYGO,86,101,33
,FREMONT HILLS PARK LLC,"927 LAKE DRIVE, FREMONT, MI 49412",NEWAYGO,55,101,33
