DBA,Owner / Community_Name,Location_Address,County,Total_#_Sites,House district,Senate district
,COVENTRY WOODS,"7243 SHELDON RD, HAMBURG TOWNSHIP MI 48189",LIVINGSTON,195,48,22
,RIVERVIEW ESTATES & MINI STORAGE LLC,"13012 U.S. 23 SOUTH, OSSINEKE, MI 49766",ALPENA,14,106,36
,FALCONVIEW ESTATES LLC,"9645 MEADOWLARK CR, FREELAND, MI 48623",SAGINAW,179,97,35
,CENTENNIAL FARMS MI LLC,"1065 PEACH BLOSSOM CIRCLE, BURTON, MI 48509",GENESEE,390,68,26
DUNDEE MEADOWS,"ACO DEVELOPMENT, INC","630 RAWSON, DUNDEE, MI 48131",MONROE,80,31,16
,"FREMONT COUNTRY VIEW ESTATES, INC","401 MARKET STREET, FREMONT, MI 49412",NEWAYGO,134,101,33
OLD OAK TRAILS ESTATES MOBILE HOME PARK,CLINTON MOBILE HOME PARK LTD LLC,"1661 N OLD OAK TR, SANFORD, MI 48657",MIDLAND,215,95,35
"PINE RIDGE COMMUNITY, INC",JAMES D SLAGH,"4629  134TH AVENUE, HAMILTON, MI 49419",ALLEGAN,49,43,20
WINDHAM HILLS,"SUN SECURED FINANCING, LLC","4020 COUNTY FARM ROAD, BLACKMAN TOWNSHIP, MI 49201",JACKSON,469,46,14
SILVER SPRINGS,RUDGATE SILVER SPRINGS LLC,"43600 PARK DRIVE WEST, CLINTON TOWNSHIP, MI 48036",MACOMB,547,61,12
COUNTRY MEADOWS VILLAGE,COUNTRY MEADOWS VILLAGE MOBILE HOME PARK LLC,"5401  76TH STREET, CALEDONIA MI 49316",KENT,395,79,18
SILVERBROOK MANUFACTURED HOUSING COMMUNITY,"MODULAR DEVELOPMENT, INC","2300 EAST MAIN STREET, NILES, MI 49120",BERRIEN,176,37,17
BROOKHAVEN MHP,WILLIAMSON HOLDING INC,"622 DIVISION, NEWAYGO, MI 49337",NEWAYGO,178,101,33
VICTORIA MEADOWS HOME COMMUNITY,HUNTER DEVELOPMENT CORP,"N. MILL ST., DRYDEN, MI 48428",LAPEER,130,65,24
SUNSET SHORES,"SUNSET SHORES ESTATES, LC","10406 PIERCE ROAD, STANWOOD, MI 49346",MECOSTA,80,100,34
,FENTON OAKS LLC,"16423 JENNINGS ROAD, FENTON, MI 48430",GENESEE,203,72,22
HARTLAND MEADOWS,HARTLAND MEADOWS LTD,"13643 WEST HIGHLAND ROAD, HARTLAND, MI 483533128",LIVINGSTON,617,50,22
CREEKWOOD MEADOWS,SUN/YORK LLC,"4272 CREEKSIDE BOULEVARD, BURTON, MI 48429",GENESEE,336,68,27
COUNTRY HILLS VILLAGE,COUNTRY HILLS VILLAGE MOBILE HOME PARK LLC,"2200 RILEY STREET, JAMESTOWN, MI 49427",OTTAWA,239,43,31
CEDARFIELD COMMUNITY,"CEDARFIELD, INC","3592  17 MILE ROAD, CEDAR SPRINGS, MI 49501",KENT,197,91,33
,NORTH HURON MHC,"33151 FORT RD, ROCKWOOD, MI 48173",WAYNE,96,28,4
,CROSSINGS AT BROADWAY MP LLC,"5402 EAST BROADWAY, MT. PLEASANT, MI 48858",ISABELLA,225,92,34
WEATHERSTONE VILLAGE COMMUNITY,TERRICK INC,"5210 MARSH ARBOR TRAIL, KALAMAZOO MI 49004",KALAMAZOO,101,42,19
NORTHVILLE CROSSING,SUN NORTHVILLE CROSSING LLC,"9800 BLOOMSBURY CIRCLE, NORTHVILLE, MI 48167",WASHTENAW,756,23,14
ELIZABETH WOODS MANUFACTURED HOUSING COMMUNITY,R E FUND NEWPORT LLC,"1250 PAREE STREET, NEWPORT, MI 48166",MONROE,393,28,16
,MAPLE RUN MHC LLC,"2000 MAPLE RUN BLVD., CLIO, MI 48420",GENESEE,145,97,26
MORRICE MEADOWS,SCOTSDALE ASSOCIATES LLC,"328 N. HIDDEN RIDGE RD., MORRICE, MI 48857",SHIAWASSEE,103,71,28
,LAKES MHP LLC,"5901 LAPEER ROAD, KIMBALL MI 48074",ST CLAIR,313,64,25
SADDLEBROOK FARMS,"CCG DEVELOPMENT, LLC","5053 SOUTH 4TH STREET, KALAMAZOO, MI 49009",KALAMAZOO,147,40,19
,HIDDEN FOREST MHP LLC,"3626 W. HIDDEN FOREST DRIVE, LUDINGTON, MI 49431",MASON,119,102,32
WOODCREEK OF TRAVERSE CITY,"WOODCREEK ASSOCIATES, LLC","501 WOODCREEK BLVD., TRAVERSE CITY, MI 49686",GRAND TRAVERSE,224,103,37
MARSHALLS CROSSING,TRIDENT-MONTROSE LLC,"12050 TRIDENT BLVD., MONTROSE, MI 48457",GENESEE,195,97,26
WALTON RIDGE MOBILE HOME COMMUNITY,WALTON DEVELOPMENT CO LLC,"1360 FOXRUN CT., PONTIAC, MI 48340",OAKLAND,155,53,7
,PINE LAKE INVESTORS LLC,"110 PINE LAKE DRIVE, LAPEER, MI 48446",LAPEER,249,67,26
,BURKHART RIDGE LLC,"1011 RIVER LINE DRIVE, HOWELL TOWNSHIP, MI 48843",LIVINGSTON,498,50,22
MAPLE LEAF COMMUNITY,CONSTINE COMMUNITIES INC,"8701 E. M-21, OVID, MI 48866",CLINTON,76,75,28
MINNESOTA LAKE,"HIDDEN LAKE DEVELOPMENT COMPANY, INC","1219 MINNESOTA ROAD, PORT HURON, MI 48060",ST CLAIR,161,64,25
,"NEWPORT FARMS MHC, LLC","2447 NEWPORT ROAD, NEWPORT, MI 48166",MONROE,513,28,16
,"RIDGEWOOD, LLC","3331 STONEYBROOK DRIVE, HIGHLAND TOWNSHIP, MI 48380",OAKLAND,455,51,23
WHISPERING VALLEY ESTATES,WHISPERING VALLEY INC,"8410 U.S. 2, RAPID RIVER MI 49878",DELTA,14,108,38
,MARYSVILLE FARMS LLC,"236 SYCAMORE CT, PORT HURON, MI 48060",ST CLAIR,184,64,25
HUNTERS CROSSING,SR HUNTERS CROSSING LLC,"150 HUNTERS CROSSING BLVD., CAPAC, MI 48014",ST CLAIR,114,65,25
CASEVILLE RESORT & MARINA,KAPPEN SPECIALTY SERVICES LLC,"6545 RIVERSIDE DRIVE, CASEVILLE, MI 48725",HURON,40,98,25
BOULDER RIDGE OF ALLENDALE,BOULDER RIDGE PARTNERS LLC,"4730 PINEGREE STREET, ALLENDALE, MI 49401",OTTAWA,196,89,30
DOVER FARMS,DOVER FARMS LLC,"1590 DOVER DRIVE, MARTIN, MI 49070",ALLEGAN,96,43,18
CAPITOL HILLS,"CAPITOL HILLS, LLC","6300 W. ADAMS, BELLEVILLE, MI 48111",WAYNE,330,31,4
TYRONE WOODS,"TYRONE WOODS MHC 1, LLC","8378 HOGAN ROAD, FENTON, MI 48430",LIVINGSTON,403,72,22
AUGUSTA WOODS,AUGUSTA WOODS COMMUNITY LLC,"8330 N BROOKSTON, WILLIS, MI 48191",WASHTENAW,484,31,15
MARATHON MEADOWS,OREGON DEVELOPMENT INC,"4246 LEVALLEY RD., COLUMBIAVILLE, MI 48421",LAPEER,47,67,26
,"DEPOT, THE","M-81, CARO, MI 48723",TUSCOLA,14,97,25
FALCON POINTE,FP INVESTORS LLC,"555 QUARTERHORSE RD., EAST LANSING, MI 48823",CLINTON,18,75,28
ORCHARDS MANUFACTURED HOME COMMUNITY,ORCHARDS MHC INC,"3600 TOWNSQUARE BLVD, CARLETON, MI 48117",MONROE,394,29,16
BIRCH GROVE MANUFACTURED HOME SUBDIVISION,MICHAEL A LAHTI,"400 ELEVATION STREET, HANCOCK, MI 49930",HOUGHTON,31,110,38
SUNSET RIDGE MANUFACTURED HOME COMMUNITY,SUN COMMUNITIES FUNDING II LLC,"7204 E. GRAND RIVER AVENUE, PORTLAND TWP., MI 48875",IONIA,388,78,33
BIRCHWOOD FARMS MHC,UMH OF MICHIGAN INC,"8057 BIRCHWOOD DRIVE, BIRCH RUN, MI 48415",SAGINAW,143,97,26
,LINCOLN PINES RESORT INC,"13033 19 MILE RD, GOWEN, MI 49326",KENT,156,91,33
,FARMINGTON HILLS MOBILE MANOR LLC,"30030 W 8 MILE RD, FARMINGTON HILLS MI 48336",OAKLAND,65,18,6
BIRCHWOOD ESTATES WEST,"KEEWAHDIN ENTERPRISES, LLC","3211 KEEWAHDIN ROAD, FORT GRATIOT, MI 48059",ST CLAIR,145,64,25
,RICHLAND MOBILE HOME PARK,"9604 M-89, RICHLAND, MI 49083",KALAMAZOO,45,42,19
WATERS EDGE MANUFACTURED HOME COMMUNITY,LEE VILLA ESTATES LLC,"15709 WATERS EDGE, MANITOU BEACH, MI 49253",LENAWEE,72,34,16
WHISPERING WOODS MHC,HENRY ZIELINSKI LIVING TRUST,"4263 BISSIONETTE RD., OSCODA, MI 48750",IOSCO,34,99,36
,NORTHERN PINES MOBILE HOME PARK,"2721 SOUTH DR, HALE, MI 48739",IOSCO,30,99,36
MEADOWLANDS,SUN MEADOWLANDS GIBRALTAR LLC,"17305 VALENCIA DR, GIBRALTAR, MI 48173",WAYNE,321,27,4
EDGEWOOD ESTATES,DAGENAIS REAL ESTATE INC,"1620 WILLOW CREEK ROAD, ESCANABA, MI 49829",DELTA,76,108,38
,FAIRFIELD MANOR LLC,"1016 PARKSIDE BLVD., BAY CITY, MI 48706",BAY,137,96,35
LITTLE GEM TRAILER PARK,AB & CC INVESTMENTS LLC,"1678-1694 N 10TH ST, MARTIN MI 49070",ALLEGAN,14,42,18
MYRTLE GROVE MOBILE HOME PARK OF FLINT,GREEN GIN LLC,"3073 W. DAYTON, FLINT, MI 48504",GENESEE,99,69,27
,BIRCH RUN ESTATES LLC,"10670 DIXIE HWY., BIRCH RUN, MI 48415",SAGINAW,50,97,26
,CLIMAX COUNTRY ESTATES,"14344 E. ON AVENUE, CLIMAX, MI 49034",KALAMAZOO,32,45,18
PORT OF CALL,DRI LLC,"4125 DOVE ROAD, PORT HURON, MI 48060",ST CLAIR,146,64,25
BIRCH FOREST,"MAPLE DORT ASSOCIATES, LLC","37 SQUIRREL RD., BIRCH RUN, MI 48415",SAGINAW,103,97,26
VALLEY MEADOW VILLAGE,VALLEY MEADOWS LLC,"G-4152 CORUNNA RD., FLINT, MI 48532",GENESEE,84,69,27
SCHMID FARM ESTATES,FREDERICK W SCHMID JR,"5540 N. STATE, ORLEANS, MI 48865",IONIA,14,78,33
,R & L RENTAL HOUSING,"4850 S. HURON, STANDISH, MI 48658",ARENAC,3,99,36
,THOMAS CROSSINGS LLC,"1723 CRANBERRY LAKE CIRCLE, SAGINAW, MI 48609",SAGINAW,43,93,26
FOREST LAKE MHC,MICHIGAN MHC INC,"17147 148TH AVENUE, SPRING LAKE, MI 49456",OTTAWA,221,88,31
HARBOR VILLAGE COMMUNITY,"PJG PROPERTIES, LLC","1208 ELM STREET, FRANKFORT, MI 49635",BENZIE,21,104,32
,"EVERGREEN VILLAGE MHC, LLC","11 EVERGREEN DRIVE, ST LOUIS, MI 48880",GRATIOT,183,92,34
,MT MORRIS HIGHLANDS LLC,"2197 E MT MORRIS RD, MT MO 48458",GENESEE,685,67,26
,PINE RIVER RIDGE LLC,"25 PINE RIDGE, LAPEER, MI 48446",LAPEER,215,67,26
,MAPLE GROVE MANUFACTURED HOME COMMUNITY INC,"401 KUIPERS DR, MIDLAND MI 48642",MIDLAND,140,95,35
CIDER MILL CROSSINGS,SUN CIDER MILL CROSSINGS LLC,"9900 TOWN SQ BLVD, FENTON MI 48430",LIVINGSTON,621,72,22
,LAKEVIEW MOBILE PARK LLC,"401 HOWARD AVE, HOLLAND MI 49424",OTTAWA,38,86,31
,STOCKS CREEK MI LLC,"3730 LAPEER RD, PORT HURON MI 48060",ST CLAIR,148,64,25
,COUNTRY ESTATES MI LLC,"58220 W EIGHT MILE RD, NORTHVILLE MI 48167",OAKLAND,336,21,6
,THE OAKS OF ROCKFORD MHC LLC,"11640 TOWNSQUARE BLVD, ROCKFORD MI 49341",KENT,423,90,33
SOMERSET MEADOWS MHC,TLP SOMERSET MEADOWS PROPERTY LLC,"5655 BLUERIDGE AVE, KIMBALL MI 48074",ST CLAIR,162,64,25
CAMELOT MANOR MHC,FSI CAMELOT MANOR PROPERTY LLC,"6263 DIVISION AVE S, GRAND RAPIDS MI 49508",KENT,335,83,20
,LINCOLN ESTATES MOBILE HOME PARK LLC,"2951 HIGGINSON, HARRISVILLE MI 49740",ALCONA,21,106,36
,MARYSVILLE VILLA ESTATES MHC,"3333 RAVENSWOOD, MARYSVILLE MI 48040",ST CLAIR,232,64,25
HERITAGE HILLS MOBILE HOME ESTATES,BLACK SWAMP LAND COMPANY,"3677 SOUTH PERE MARQUETTE HWY., LUDINGTON, MI 49431",MASON,30,102,32
,LAKESHORE CY LLC,"6458 S DIXIE HWY, ERIE MI 48133",MONROE,20,30,16
EAGLE POINTE CREEK,EAGLE POINTE PARK LLC,"4385 S ELM ROAD, SWARTZ CREEK MI 48473",GENESEE,180,69,27
CRESTVIEW RV & TRAILER PARK OF N.S.,"UNLIKELY 3, LLC","3290 S GETTY STREET, NORTON SHORES MI 49444",MUSKEGON,41,87,32
,"MONA LAKE MHP, LLC","3527 HOYT STREET, MUSKEGON HEIGHTS MI 48444",MUSKEGON,73,87,32
PONDVIEW ESTATES,CONNELL & SINAGOGA INC,"621 N WALNUT STREET, GREENVILLE MI 48838",MONTCALM,118,91,33
,TINY VILLAGE MHP LLC,"4624 S HURON RIVER DRIVE, FLAT ROCK MI 48134",MONROE,22,28,16
,THORNAPPLE LAKE MHC LLC,"6335 THORNAPPLE LAKE RD, NASHVILLE MI 49073",BARRY,215,78,18
SHADY GROVE VILLAGE,JASON ADAMS,"4128 MICHIGAN AVE., ONAWAY MI 49765",PRESQUE ISLE,21,106,36
VILLAGE TRAILS,"VILLAGE TRAILS (MI) MHC, LLC","518 HICKORY LANE, HOWARD CITY MI 49329",MONTCALM,100,91,33
COLLEGE PARK ESTATES,"COLLEGE PARK ESTATES (MI) MHC, LLC","51074 MOTT ROAD, #243, CANTON MI 48188",WAYNE,230,24,5
SHERMAN OAKS,SHERMAN OAKS (MI) MHC LLC,"1144 SHERMAN BLVD, JACKSON MI 49201",JACKSON,366,45,14
,MAPLE LEAF GARDENS SOUTH MHC LLC,"51000 MICHIGAN AVENUE, BELLEVILLE MI 48111",WAYNE,147,31,4
,MAPLE LEAF GARDENS NORTH MHC LLC,"51000 MOTT RD, CANTON MI 48188",WAYNE,230,24,5
,OAK HAVEN MHC LLC,"14401 N RIDGE ROAD, PLYMOUTH MI 48170",WAYNE,141,23,13
POTTER MOBILE HOME PARK,COSMONET-POTTER LLC,"4470 9TH ST, ECORSE MI 48229",WAYNE,42,2,1
PELHAM MOBILE HOME PARK,COSMONET-PELHAM LLC,"4128 PELHAM ST, DEARBORN HEIGHTS MI 48125",WAYNE,67,15,2
WOODVIEW MOBILE HOME VILLAGE,COSMONET-WOODVIEW LLC,"6988 READY ST, WARREN MI 48091",MACOMB,92,58,10
,SALINE MOBILE HOME PARK LLC,"475 N MAPLE, SALINE MI 48176",WASHTENAW,81,33,15
,SUN KIMBERLY ESTATES LLC,"7769 KIMBERLY DRIVE, NEWPORT MI 48166",MONROE,388,29,16
BRANDYMORE PINES MHC,BRANDYMORE PARTNERS LLC,"4400 KRAFFT RD, FORT GRATIOT MI 48059",ST CLAIR,192,64,25
CONWAY COMMONS PARK,PETOSKEY VENTURE LLC,"2959 ODEN ROAD, ALANSON MI 49706",EMMET,100,107,37
OTTOGAN MOBILE HOME ESTATES,OTTOGAN ESTATES LLC,"173 LIZBETH, HOLLAND MI 49423",OTTAWA,278,85,31
,CARLETON MHP LLC,"12500 JONES STREET, CARLETON MI 48117",MONROE,228,29,16
MAPLEWOOD MOBILE HOME COMMUNITY,NP MAPLEWOOD LLC,"50 INCA DRIVE SW, GRAND RAPIDS MI 49548",KENT,115,83,20
,MATTESON LAKE ESTATES,"877 KINTER, BRONSON MI 49028",BRANCH,11,35,17
PARKS PLACE ESTATES,PATRICK PARKS,"14065 30TH AVE, REMUS MI 49340",MECOSTA,29,100,34
,HIDDEN CREEK COMMUNITY LLC,",",ALLEGAN,212,43,31
,PLEASANT VALLEY ESTATES LLC,"600 W 5TH STREET, CLARE MI 48617",CLARE,57,100,34
MEADOWS MOBILE HOME PARK,MIAL MEADOWS MHP LLC,"411 S GROVER, ALMA MI 48801",GRATIOT,93,92,34
,MAPLE WOODS MOBILE HOME PARK LLC,"1550 W BEECHER, ADRIAN MI 49221",LENAWEE,285,34,16
,GLENMOOR VILLAGE MHC LLC,"3971 CAPITAL AVE SW OFC, BATTLECREEK MI 49015",CALHOUN,127,45,18
MIIS SUNNYSIDE MANUFACTURED HOME COMMUNITY,"MIIS SUNNYSIDE MHP, LLC","728 NORTH LAKE DRIVE, ISHPEMING MI 49849",MARQUETTE,131,109,38
WESTBRIDGE,FSI WESTBRIDGE WESTBROOK PROPERTY LLC,"45301 CHATEAU THIERRY BLVD, MACOMB MI 48044",MACOMB,1425,60,11
WESTBROOK,FSI WESTBRIDGE WESTBROOK PROPERTY LLC,"45013 CATALPA BLVD, MACOMB MI 48044",MACOMB,388,60,11
,FSI GRAND BLANC PROPERTY LLC,"8225 EMBURY ROAD, GRAND BLANC MI 48439",GENESEE,478,68,27
,FSI AVON PROPERTY LLC,"2889 SANDPIPER STREET, ROCHESTER HILLS MI 48039",OAKLAND,616,55,9
,FSI FERRAND ESTATES PROPERTY LLC,"4528 HALIFAX AVE., SOUTHWEST, WYOMING MI 49519",KENT,420,83,29
,FSI FAIRCHILD PROPERTY LLC,"49645 AU LAC DRIVE EAST, CHESTERFIELD MI 48051",MACOMB,345,63,12
LAKE PONEMAH MOBILE HOME PARK,"FENTON LAKEFRONT COMMUNITY, LLC","14214 EASTVIEW DRIVE, FENTON MI 48430",GENESEE,61,72,22
PARKWAY VILLAGE ML,MHC AFFORDABLE HOUSING ML LLC,"23500 S KEYSTONE WAY, CLINTON TOWNSHIP MI 48036",MACOMB,242,61,12
LAKE SUPERIOR ESTATES,MISA LAKE SUPERIOR MHP LLC,"102 E 25TH AVE, SAULT STE MARIE MI 48783",CHIPPEWA,222,107,37
,EDGEWOOD MHC LLC,"1490 SOUTH GRAHAM ROAD, SAGINAW MI 48609",SAGINAW,197,93,26
,INDIAN TRAIL MHC LLC,"3650 METCALF ROAD, BURTCHVILLE MI 48059",ST CLAIR,496,64,25
,THE PEACH TREE MHP LLC,"6517 TELEGRAPH ROAD, ERIE MI 48133",MONROE,65,30,16
SPRING VALLEY MOBILE HOME PARK,MHP SPRING VALLEY LLC,"6460 NORTHLAND DRIVE N.E., ROCKFORD MI 49341",KENT,69,90,30
FOREST LANE MHP,MIIS SUNNYSIDE MHP LLC,"3310 COUNTY RD 496, ISHPEMING MI 49849",MARQUETTE,14,109,38
ROYAL ESTATES,FSI ROYAL ESTATES PROPERTY LLC,"8300 RAVINE ROAD, KALAMAZOO MI 49009",KALAMAZOO,181,42,19
,MY PLACE AT WOODMONT LLC,"21395 INKSTER, FARMINGTON HILLS MI 48336",OAKLAND,32,18,6
,FSI OAKLAND GLENS PROPERTY LLC,"41875 CAROUSEL STREET, NOVI MI 48377",OAKLAND,733,49,13
,RIVERSIDE PROPERTIES OF DEARBORN HEIGHTS LLC,"17297 W OUTER DRIVE, UNIT #1, DEARBORN HEIGHTS MI 48127",WAYNE,100,15,2
,FSI CRANBERRY PROPERTY LLC,"9620 HIGHLAND RD, WHITE LAKE MI 48386",OAKLAND,328,51,23
,MARC QUAIL RUN LLC,"33099 WILLOW LANE, LENOX TOWNSHIP MI 48048",MACOMB,340,65,25
SWAN LAKE MOBILE HOME COMMUNITY,MI 2016 SWAN LAKE MOBILE ESTATES LLC,"4319 SWAN LAKE DR, ALLEGAN MI 49010",ALLEGAN,47,39,20
,FSI OLD ORCHARD PROPERTY LLC,"10500 LAPEER ROAD, DAVISON MI 48423",GENESEE,200,68,26
,FSI HOLLY HILLS PROPERTY LLC,"16181 LANCASTER WAY, HOLLY MI 48442",OAKLAND,314,72,22
,PARK 24 INC,"109 PRUDENCE STREET, HIGGINS LAKE MI 48627",ROSCOMMON,24,105,36
,PINE CREST ESTATES MHC LLC,"30086 PINEVIEW CIRCLE, CHESTERFIELD MI 48051",MACOMB,214,63,12
,FSI MASON MANOR PROPERTY LLC,"2179 HULL ROAD, MASON MI 48854",INGHAM,269,73,21
,MEADOWBROOK ESTATES LLC,"07120 68TH ST, SOUTH HAVEN MI 49090",VAN BUREN,50,39,20
,MY PLACE AT NORTH HILL LLC,"504 NORTH MAIN STREET, YALE MI 48097",ST CLAIR,42,65,25
KEY VISTA MHC,KEY VISTA LLC,"1800 WEST MAIN STREET, LOWELL MI 49331",KENT,137,78,18
,NORTHWOOD VILLAGE BAY CITY LLC,"2627 BROADWAY, BAY CITY MI 48708",BAY,60,96,35
GREEN BRIAR COMMUNITY,4070 GREENBRIAR LLC,"4070 GREEN BRIAR BLVD, BURTON MI 48529",GENESEE,345,70,27
NEW VILLAGE ML,MHC AFFORDABLE HOUSING ML LLC,"430 SOUTH BRYON, HOMER MI 49245",CALHOUN,130,45,17
MILLER TRAILER VILLAGE,"MIK PROPERTY, LLC","3500 S DEARING ROAD, SPRING ARBOR MI 49283",JACKSON,55,45,14
THE BLUFFS AT MANISTEE LAKE,RJ II ASSOCIATES LLC,"956 TENNESSEE AVE, MANISTEE MI 49660",MANISTEE,53,102,32
,FSI SWAN CREEK PROPERTY LLC,"23379 ISLAND DRIVE, NEW BOSTON MI 48164",WAYNE,304,29,4
BUCKHORN TRAILER COURT,FITZGERALD PARK LLC,"2261 ROCKY WEED, BERRIEN SPRINGS MI 49103",BERRIEN,12,37,20
FRANKLIN WOODS,MINI FRANKLIN MHP LLC,"1950 S 13TH STREET, NILES MI 49120",BERRIEN,271,37,17
SPRUCE TREE MOBILE HOME PARK,MIMA SPRUCE MHP LLC,"14200 18 1/2 MILE ROAD, MARSHALL MI 49068",CALHOUN,80,45,18
HIDDEN OAKS MHP,MIFR HIDDEN MHP LLC,"14751 APPLE DRIVE, FRUITPORT MI 49415",OTTAWA,104,88,31
KALKASKA ESTATES,KALKASKA MHP LLC,"2012 EAST ESTATE RD, KALKASKA MI 49646",KALKASKA,54,104,36
,WHISPERING PINES MOBILE HOME PARK,"12955 SHERIDAN ROAD, BURT MI 48417",SAGINAW,14,97,26
ARBOR WOODS,SUN ARBOR WOODS LLC,"1993 ARBOR WOOD BLVD, YPSILANTI MI 48198",WASHTENAW,458,32,15
,SUNRISE RENTALS LLC,"1121 BARE POINT RD, ALPENA MI 49707",ALPENA,36,106,36
LAKE FOREST PARK MHC,HESS LAKE INVESTMENTS LLC,"905 E 96TH STREET, GRANT MI 49327",NEWAYGO,74,101,33
,STURGIS MOBILE HOME PARK LLC,"960 WEST CHICAGO ROAD, STURGIS MI 49091",ST JOSEPH,35,36,17
,LAMBERTON LAKE MHC,"1525 E LAMBERTON LAKE DRIVE, GRAND RAPIDS MI 49525",KENT,52,81,30
,WESTWOOD MHP LLC,"3364 S HURON ROAD, BAY CITY MI 48706",BAY,240,96,35
,SHERWOOD VILLAGE MHC LLC,"41275 OLD MICHIGAN ROAD, CANTON MI 48188",WAYNE,446,25,5
,PARKWOOD MOBILE HOME PARK,"3120 CHARI DRIVE, FLINT MI 48507",GENESEE,250,72,27
WATSON ML,MHC AFFORDABLE HOUSING ML LLC,"1362 E M-89 HWY, OTSEGO MI 49087",ALLEGAN,176,42,18
CARRIAGE MANOR ESTATES,"FLINT HOME SWEET HOME, LLC","2211 SOUTH DORT HIGHWAY, FLINT MI 48167",GENESEE,53,70,27
PONTALUNA SHORES,PONTALUNA SHORES MHC LLC,"1281 E PONTALUNA ROAD, SPRING LAKE MI 49456",MUSKEGON,143,88,32
ARBOR VILLAGE ML,MHC AFFORDABLE HOUSING ML LLC,"7940 S CIRCLE DR, PARMA MI 49269",JACKSON,265,45,14
,"CAMBRIDGE VILLAGE MOBILE HOME PARK, LLC","734 CAMBRIDGE DRIVE, COLDWATER MI 49036",BRANCH,32,35,17
,OLD ORCHARD MOBILE HOME PARK LLC,"35270 GLENWOOD, WESTLAND MI 48186",WAYNE,29,25,5
MERLINO'S TIMBER COUNTRY MOBILE HOME PARK,MERLINO'S INVESTMENTS LLC,"10401 W MONROE RD, ELWELL MI 48832",GRATIOT,32,92,34
,BROADWAY ACRES MHP LLC,"5400 KAY STREET, MOUNT PLEASANT MI 48858",ISABELLA,71,92,34
,NORTH BRANCH MEADOWS PARTNERS LLC,"6800 LYDIA BOULEVARD, NORTH BRANCH MI 48461",LAPEER,132,98,26
,FSI ANCHOR BAY PROPERTY LLC,"7061 BETHUY ROAD, FAIR HAVEN MI 48023",ST CLAIR,653,63,12
,MY PLACE AT HERITAGE ESTATES LLC,"G-5182 S DORT HIGHWAY, FLINT MI 48507",GENESEE,56,72,27
,RIVERVIEW ESTATES MHC LLC,"3407 MT HOPE AVE, LANSING MI 48911",INGHAM,142,74,21
,SWEET LAKE LLC,"31004 E US HWY 12, STURGIS MI 49091",ST JOSEPH,53,36,17
,FSI MILLSTONE POND PROPERTY LLC,"37781 SANDSTONE TRAIL, LENOX MI 48048",MACOMB,463,65,25
ORCHARD COVE MHC,OTISVILLE PARTNERS LLC,"201 ORCHARD COVE DR, OTISVILLE MI 48463",GENESSEE,117,67,26
OLD DUTCH FARMS,YES OLD DUTCH LLC,"27000 NAPIER ROAD, NOVI MI 48374",OAKLAND,299,21,13
AMERICANA ESTATES,YES AMERICANA ESTATES LLC,"1802 TRAY LANE, KALAMAZOO MI 49006",KALAMAZOO,162,41,19
DELHI MANOR,YES DELHI MANOR LLC,"4075 EAST HOLT ROAD, HOLT MI 48842",INGHAM,286,74,21
STONEGATE MHC,YES STONEGATE LLC,"2700 EATON RAPIDS ROAD, LANSING MI 48911",INGHAM,308,74,21
TIMBERLANDS,YES TIMBERLANDS LLC,"3375 EAST MICHGAN AVE, YPSILANTI MI 48198",WASHTENAW,185,32,15
YANKEE SPRINGS MEADOWS,YES YANKEE SPRINGS LLC,"1330 N PATTERSON RD, WAYLAND MI 49348",BARRY,284,43,18
,MI 2017 HIGHLAND HILLS LLC,"2425 DOUGLAS AVE, KALAMAZOO, 49007",KALAMAZOO,187,41,19
WEST OLIVE ESTATES,YES COMPANIES FRED LLC,"8930 146TH AVENUE, WEST OLIVE MI 49460",OTTAWA,740,88,31
DUTCH HILLS,YES DUTCH HILLS LLC,"16400 UPTON ROAD, EAST LANSING MI 48823",CLINTON,278,75,28
NORTON SHORES,"YES COMPANIES FRED, LLC","3223 BAILEY STREET, NORTON SHORES MI 49444",MUSKEGON,656,87,32
,FSI PAVILION PROPERTY LLC,"6830 E. N. AVE, KALAMAZOO MI 49048",KALAMAZOO,531,42,19
,KRIS KAY MHC LLC,"1800 S GRAHAM ROAD, SAGINAW MI 48609",SAGINAW,302,93,26
LAKEVIEW ESTATES ON LAWNDALE,YES COMPANIES FRED LLC,"4231 LAWNDALE ROAD, SAGINAW MI 48603",SAGINAW,189,93,35
,GREENWOOD INVESTMENTS LLC,"4461 US 41, ISHPEMING MI 49849",MARQUETTE,26,109,38
,CARO RIVERVIEW INC,"1 ANN DRIVE, CARO MI 48723",TUSCOLA,99,97,25
TWINLEAF,YES TWINLEAF LLC,"3614 STADIUM DRIVE, KALAMAZOO MI 49008",KALAMAZOO,185,41,19
WOODLAND ESTATES,YES WOODLAND ESTATES MI LLC,"4797 SOUTH 4TH STREET, KALAMAZOO MI 49009",KALAMAZOO,347,40,19
THE RAVINES MOBILE HOME COMMUNITY,YES RAVINES LLC,"73100 COUNTY ROAD 388, SOUTH HAVEN MI 49090",VAN BUREN,106,38,20
PLEASANT VIEW ESTATES,"YES PLEASANT VIEW, LLC","7604 RED ARROW HIGHWAY, WATERVLIET MI 49098",BERRIEN,209,39,20
